;code2;nr_nuts;nr_routes;country;code3;aoi_combinations
0;AL;12;66.0;Albania;ALB;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 140 160 171 174 176
1;AT;35;595.0;Austria;AUT;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1050 1100 1109 1124 1127 1129
2;BE;44;946.0;Belgium;BEL;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 140 160 178 180 181 183
3;BG;28;378.0;Bulgaria;BGR;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 400 450 500 550 555 560 563 565
4;CH;26;325.0;Switzerland;CHE;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 255 260 263 265
5;CY;1;0.0;Cyprus;CYP;
6;CZ;14;91.0;Czechia;CZE;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 400 415 420 423 425
7;DE;401;80200.0;Germany;DEU;
8;DK;10;45.0;Denmark;DNK;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 70 73 75
9;EE;5;10.0;Estonia;EST;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 134 137 139
10;EL;52;1326.0;Greece;GRC;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 400 433 438 441 443
11;ES;59;1711.0;Spain;ESP;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 2350 2420 2435 2438 2440
12;FI;19;171.0;Finland;FIN;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1550 1565 1580 1583 1585
13;FR;101;5050.0;France;FRA;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 3050 3104 3119 3122 3124
14;HR;21;210.0;Croatia;HRV;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 364 369 372 374
15;HU;20;190.0;Hungary;HUN;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 550 600 619 634 637 639
16;IE;8;28.0;Ireland;IRL;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 140 160 180 194 197 199
17;IS;2;1.0;Iceland;ISL;
18;IT;110;5995.0;Italy;ITA;
19;LI;1;0.0;Liechtenstein;LIE;
20;LT;10;45.0;Lithuania;LTU;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 323 328 331 333
21;LU;1;0.0;Luxembourg;LUX;0 1 2 3 4 5 6 7 8 9 10 15 18 20
22;LV;6;15.0;Latvia;LVA;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 344 349 350 352 354
23;ME;1;0.0;Montenegro;MNE;
24;MK;8;28.0;Macedonia;MKD;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 138 140 141 143
25;MT;2;1.0;Malta;MLT;
26;NL;40;780.0;Netherlands;NLD;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 140 155 158 160
27;NO;18;153.0;Norway;NOR;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1050 1075 1090 1093 1095
28;PL;73;2628.0;Poland;POL;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1733 1748 1750 1751 1753
29;PT;25;300.0;Portugal;PRT;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 383 388 391 393
30;RO;42;861.0;Romania;ROU;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1450 1500 1512 1527 1530 1532
31;RS;25;300.0;Serbia;SRB;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 350 400 450 500 525 530 533 535
32;SE;21;210.0;Sweden;SWE;1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 2050 2060 2075 2078 2080
33;SI;12;66.0;Slovenia;SVN;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 80 100 120 126 129 131
34;SK;8;28.0;Slovakia;SVK;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 339 344 347 349
35;TR;81;3240.0;Turkey;TUR;
36;UK;179;15931.0;United Kingdom;GBR;
37;BX;85;;Benelux;BNX;0 1 2 3 4 5 6 7 8 9 10 20 30 40 50 100 150 200 250 300 331 336 339 341
38;RA;19;171.0;Rhine_Alpine_corridor;RAC;
